model_id,aa_name,aa_model_slug,company_slug,eci_estimated,capability,n_benchmarks,benchmarks_used,mean_accuracy,total_reasoning_tokens,total_answer_tokens,total_inference_tokens
google/gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,google,152.3105609001303,2.0229299355764185,1,SWE-Bench verified,0.756198347107438,37052317.0,3702645.0,40754962.0
together/moonshotai/Kimi-K2-Thinking,Kimi K2 Thinking,kimi-k2-thinking,kimi,151.96941715690855,2.00621809189738,2,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private",0.2,0.0,633570.0,633570.0
openai/gpt-5.1,GPT-5.1 (high),gpt-5-1,openai,151.91311212387905,2.0034598384366955,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.6428434343434344,19081344.5,6967463.833333333,26048808.333333332
openai/gpt-5.3-codex,GPT-5.3 Codex (xhigh),gpt-5-3-codex,openai,151.6985687186426,1.9929498527725316,1,SWE-Bench verified,0.7479338842975206,5930473.0,1078423.0,7008896.0
moonshot/kimi-k2.5,Kimi K2.5 (Reasoning),kimi-k2-5,kimi,150.94984628583194,1.9562716709071575,1,SWE-Bench verified,0.737603305785124,0.0,4727319.0,4727319.0
openai/gpt-5.4-nano-2026-03-17,GPT-5.4 nano (xhigh),gpt-5-4-nano,openai,150.565227272343,1.9374300741986552,5,"Chess Puzzles, FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5365,13544206.0,846329.0,14390535.0
grok/grok-4-0709,Grok 4,grok-4,xai,150.45861317814047,1.932207296083281,3,"Chess Puzzles, FrontierMath-Tier-4-2025-07-01-Private, SimpleQA Verified",0.253,4641912.0,74523.0,4716435.0
google/gemini-2.5-pro,Gemini 2.5 Pro,gemini-2-5-pro,google,150.25805203657285,1.9223822692065937,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.4892263585276008,32601344.0,4907127.0,37508471.0
epoch/kimi-k2.6,kimi-k2.6,,,150.18691264687476,1.9188973148913564,3,"GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.7519797979797981,0.0,40399650.0,40399650.0
openai/gpt-5.4-mini-2026-03-17,GPT-5.4 mini (xhigh),gpt-5-4-mini,openai,149.99156825032907,1.9093278442986448,5,"Chess Puzzles, FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5348161616161616,17879952.0,510283.0,18390235.0
anthropic/claude-opus-4-5-20251101,Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,anthropic,149.94182926495182,1.906891246339883,6,"Chess Puzzles, FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5710199724517907,4979931.166666667,10920667.333333332,15900598.5
google/gemini-2.5-pro-preview-06-05,Gemini 2.5 Pro Preview (May' 25),gemini-2-5-pro-05-06,google,149.41299178435165,1.8809847201818994,3,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond",0.3828282828282828,196855.0,295623.0,492478.0
epoch/glm-5.1,GLM-5.1 (Reasoning),glm-5-1,zai,147.66464725028652,1.7953373614630666,1,SimpleQA Verified,0.37286432160804023,4619947.0,115600.0,4735547.0
alibaba/qwen3-235b-a22b-thinking-2507,Qwen3 235B A22B 2507 (Reasoning),qwen3-235b-a22b-instruct-2507-reasoning,alibaba,147.51998548492082,1.788250715856455,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5726556751928925,5890061.0,774953.0,6665014.0
fireworks/fireworks/kimi-k2p5,Kimi K2.5 (Reasoning),kimi-k2-5,kimi,147.33478412903395,1.7791781293874853,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5642133838383838,0.0,25926042.0,25926042.0
google/gemini-2.5-pro-exp-03-25,Gemini 2.5 Pro Preview (Mar' 25),gemini-2-5-pro-03-25,google,147.10605141175841,1.7679730421146234,1,GPQA diamond,0.8383838383838383,0.0,244407.0,244407.0
openai/gpt-5.1-2025-11-13,GPT-5.1 (high),gpt-5-1,openai,147.02977649102564,1.764236510000977,1,SWE-Bench verified,0.6797520661157025,25848683.0,2455057.0,28303740.0
together/Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen3 235B A22B 2507 (Reasoning),qwen3-235b-a22b-instruct-2507-reasoning,alibaba,146.80927486204865,1.7534346447237905,2,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private",0.1,0.0,284121.0,284121.0
openai/o3-2025-04-16,o3,o3,openai,146.76394824537311,1.7512141985117988,6,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.48504318547796815,27654150.0,3931689.1666666665,31585839.166666664
zhipu/glm-5,GLM-5 (Reasoning),glm-5,zai,146.69889974117666,1.7480276226027098,6,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.45602685198954823,0.0,19373288.0,19373288.0
moonshot/kimi-k2-thinking-turbo,kimi-k2-thinking-turbo,,,146.55534997034698,1.7409954510388665,5,"Chess Puzzles, FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.47774545454545453,0.0,35581775.0,35581775.0
openai/gpt-5-mini-2025-08-07,GPT-5 mini (high),gpt-5-mini,openai,146.0234658771488,1.7149396783696962,6,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.4788934802571166,17457351.666666668,2128240.833333333,19585592.5
alibaba/qwen3-max-2025-09-23,Qwen3 Max,qwen3-max,alibaba,145.33972225351562,1.6814446582154796,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5435045272545272,0.0,4662938.0,4662938.0
zhipu/glm-4.7,GLM-4.7 (Reasoning),glm-4-7,zai,145.09083267520157,1.6692521328980148,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.5104166666666667,15580076.0,459760.0,16039836.0
together/openai/gpt-oss-120b,gpt-oss-120B (high),gpt-oss-120b,openai,144.49875363282942,1.640247548764907,4,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.4963661616161616,0.0,24191961.0,24191961.0
openai/o4-mini-2025-04-16,o4-mini (high),o4-mini,openai,144.27712812446205,1.6293906272334002,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.3939646464646464,45367605.33333333,5814565.166666666,51182170.5
deepseek/deepseek-reasoner,deepseek-reasoner,,,144.118004601633,1.6215955335463137,6,"Chess Puzzles, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.4100125238451892,26569160.0,1428367.5,27997527.5
openai/o3-mini-2025-01-31,o3-mini (high),o3-mini-high,openai,143.9717331647563,1.614430033851943,6,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.4146077441077441,8696448.0,18704979.0,27401427.0
anthropic/claude-sonnet-4-5-20250929,Claude 4.5 Sonnet (Non-reasoning),claude-4-5-sonnet,anthropic,143.80237167980638,1.6061334060580303,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.3814028597664961,1188671.25,9759624.0,10948295.25
anthropic/claude-opus-4-1-20250805,Claude 4.1 Opus (Non-reasoning),claude-4-1-opus,anthropic,142.99291992601644,1.5664802350887814,5,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5086174471992654,554507.6666666666,7071542.333333333,7626050.0
google/gemini-2.5-flash-preview-04-17,Gemini 2.5 Flash Preview (Non-reasoning),gemini-2-5-flash-04-2025,google,142.8692121427038,1.560420076643321,1,OTIS Mock AIME 2024-2025,0.7305555555555555,0.0,9220706.0,9220706.0
openai/gpt-5-nano-2025-08-07,GPT-5 nano (high),gpt-5-nano,openai,142.76454093010398,1.5552924758081315,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.3655111111111111,26166432.0,676656.5,26843088.5
openai/o1-2024-12-17,o1,o1,openai,142.46924340357168,1.5408265323450938,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.5003367003367003,323904.0,1553052.5,1876956.5
google/gemini-2.5-flash-preview-05-20,Gemini 2.5 Flash Preview (Non-reasoning),gemini-2-5-flash-04-2025,google,142.3868126262155,1.5367884390401758,1,OTIS Mock AIME 2024-2025,0.7083333333333334,0.0,1014846.0,1014846.0
anthropic/claude-sonnet-4-20250514,Claude 4 Sonnet (Non-reasoning),claude-4-sonnet,anthropic,142.31979230220705,1.5335052682349017,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.4199878787878788,2235636.333333333,7547131.0,9228484.5
fireworks/accounts/fireworks/models/deepseek-r1-0528,DeepSeek R1 0528 (May '25),deepseek-r1,deepseek,141.77180925764713,1.5066608451393382,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.7135732323232323,0.0,23915365.0,23915365.0
anthropic/claude-opus-4-20250514,Claude 4 Opus (Non-reasoning),claude-4-opus,anthropic,141.70444447043158,1.5033607998775191,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.4227364554637282,477517.0,5570755.833333333,5867835.166666667
grok/grok-3-mini-beta,grok-3-mini-beta,,,140.96877531502443,1.4673220679091494,6,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.31723400673400676,10514916.0,1235465.5,11750381.5
anthropic/claude-3-7-sonnet-20250219,Claude 3.7 Sonnet (Non-reasoning),claude-3-7-sonnet,anthropic,140.71760467246344,1.455017798525219,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.39692607897153354,22016472.0,6834237.5,12428455.25
anthropic/claude-haiku-4-5-20251001,Claude 4.5 Haiku (Non-reasoning),claude-4-5-haiku,anthropic,140.43322697661196,1.4410867923341242,5,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.40875757575757576,646459.5,7191316.0,7837775.5
alibaba/qwen3-235b-a22b,Qwen3 235B A22B (Non-reasoning),,alibaba,139.2155854850562,1.3814373493403413,2,"FrontierMath-2025-02-28-Private, GPQA diamond",0.35353535353535354,10833181.0,494070.0,11327251.0
fireworks/accounts/fireworks/models/deepseek-r1,DeepSeek R1 0528 (May '25),deepseek-r1,deepseek,138.8903636059758,1.3655054809939764,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.6003156565656566,0.0,13064695.0,13064695.0
google/gemini-2.0-flash-thinking-exp-01-21,Gemini 2.0 Flash Thinking Experimental (Jan '25),gemini-2-0-flash-thinking-exp-0121,google,138.59813292928993,1.3511897754181619,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.5742424242424242,0.0,150237.0,150237.0
google/gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro Preview (May' 25),gemini-2-5-pro-05-06,google,138.09165070815294,1.3263783817636345,1,GPQA diamond,0.6666666666666666,0.0,296929.0,296929.0
grok/grok-3-beta,grok-3-beta,,,137.7985085388957,1.312018024272988,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.3071242424242424,0.0,5061311.0,5061311.0
novita/deepseek/deepseek-v3.1,DeepSeek V3.1 (Non-reasoning),deepseek-v3-1,deepseek,137.5811052699808,1.3013679404956755,1,SWE-Bench verified,0.5210420841683366,0.0,3103884.0,3103884.0
together/deepseek-ai/deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,deepseek-r1-distill-llama-70b,deepseek,137.55268304896583,1.2999756015650894,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.5356691919191918,0.0,21997554.0,21997554.0
alibaba/qwq-plus,qwq-plus,,,137.51452518943697,1.2981063362004344,1,GPQA diamond,0.6540404040404041,0.0,13507225.0,13507225.0
openai/o1-mini-2024-09-12,o1-mini,o1-mini,openai,137.47519039172033,1.2961794153535826,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.36439393939393944,0.0,7432264.5,7432264.5
google/gemini-2.0-pro-exp-02-05,Gemini 2.0 Pro Experimental (Feb '25),gemini-2-0-pro-experimental-02-05,google,137.2077742904899,1.2830793184887963,2,"FrontierMath-2025-02-28-Private, GPQA diamond",0.3282828282828283,0.0,154149.0,154149.0
openai/gpt-4.5-preview-2025-02-27,GPT-4.5 (Preview),gpt-4-5,openai,136.9071144701891,1.2683506886450149,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.5323232323232323,0.0,254285.0,254285.0
openai/gpt-4.1-mini-2025-04-14,GPT-4.1 mini,gpt-4-1-mini,openai,136.8877449575553,1.2674018209793845,4,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.38342045454545454,0.0,4867482.0,4867482.0
fireworks/accounts/fireworks/models/deepseek-v3-0324,DeepSeek V3 0324,deepseek-v3-0324,deepseek,136.71958122458622,1.259163868287296,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.35130471380471384,0.0,2956175.0,2956175.0
openai/gpt-4.1-2025-04-14,GPT-4.1,gpt-4-1,openai,136.65094290691914,1.2558014357114806,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.3075883838383838,0.0,3870024.0,3870024.0
mistral/mistral-medium-2505,mistral-medium-2505,,,135.06186131862648,1.1779560006875593,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.30585016835016837,0.0,2503059.0,2503059.0
together/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama 4 Maverick,llama-4-maverick,meta,134.25481018558037,1.1384204305812924,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.2917929292929293,0.0,1921827.0,1921827.0
google/gemini-2.0-flash-001,Gemini 2.0 Flash (Feb '25),gemini-2-0-flash,google,134.09368425689166,1.1305272436582208,4,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.29313131313131313,0.0,5269471.0,5269471.0
openai/o1-preview-2024-09-12,o1-preview,o1-preview,openai,133.68295664651728,1.1104066471190068,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.4071338383838384,334784.0,9638290.0,9973074.0
google/gemini-1.5-pro-002,Gemini 1.5 Pro (Sep '24),gemini-1-5-pro,google,133.38269608610022,1.0956975760943377,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.4014204545454545,0.0,1964435.0,1964435.0
together/deepseek-ai/DeepSeek-V3,DeepSeek V3 (Dec '24),deepseek-v3,deepseek,133.31050110945608,1.0921609110138208,2,"FrontierMath-2025-02-28-Private, GPQA diamond",0.28267045454545453,0.0,1996549.0,1996549.0
mistral/magistral-small-2506,magistral-small-2506,,,133.1040430354662,1.0820470070441626,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.2614057239057239,0.0,5329049.0,5329049.0
openai/gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4-1-nano,openai,132.986239268833,1.0762760727330614,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.2593855218855219,0.0,2471169.0,2471169.0
alibaba/qwen-max-2025-01-25,Qwen2.5 Max,qwen-2-5-max,alibaba,132.01422631008074,1.028659403972677,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.24078282828282827,0.0,1422606.0,1422606.0
sagemaker/microsoft/phi-4,Phi-4,phi-4,azure,131.650253432377,1.0108292137480221,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.34905303030303025,0.0,2938081.0,2938081.0
google/gemma-3-27b-it,Gemma 3 27B Instruct,gemma-3-27b,google,131.2417646011107,0.9908182898240312,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.3429292929292929,0.0,2345655.0,2345655.0
fireworks/accounts/fireworks/models/deepseek-v3,DeepSeek V3 (Dec '24),deepseek-v3,deepseek,131.0919571339806,0.9834795681784648,1,OTIS Mock AIME 2024-2025,0.15833333333333333,0.0,1299246.0,1299246.0
grok/grok-2-1212,Grok 2 (Dec '24),grok-2-1212,xai,130.77905396810343,0.9681511651263337,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.21771885521885523,0.0,3289272.0,3289272.0
hyperbolic/meta-llama/Meta-Llama-3.1-405B-Instruct,Llama 3.1 Instruct 405B,llama-3-1-instruct-405b,meta,130.75661240588596,0.9670518048503687,1,GPQA diamond,0.5091540404040404,0.0,1976614.0,1976614.0
alibaba/qwen-plus-2025-01-25,qwen-plus-2025-01-25,,,130.6621469437193,0.9624241601458584,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.32941919191919194,0.0,1011741.0,1011741.0
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet (Oct '24),claude-35-sonnet,anthropic,130.65372231801263,0.9620114571997773,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.20875050505050505,0.0,2991840.0,2991840.0
google/gemini-1.5-flash-002,Gemini 1.5 Flash (Sep '24),gemini-1-5-flash,google,130.09047235327827,0.9344191429630593,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.21188973063973063,0.0,1979518.0,1979518.0
hyperbolic/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 Instruct 72B,qwen2-5-72b-instruct,alibaba,129.85235981398156,0.9227545598839002,1,GPQA diamond,0.4914772727272727,0.0,2307091.0,2307091.0
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama 4 Scout,llama-4-scout,meta,129.66766594063478,0.9137068338118984,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.1986952861952862,0.0,2038620.0,2038620.0
mistral/mistral-large-2411,Pixtral Large,pixtral-large-2411,mistral,129.53882715400067,0.9073953193702372,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.19701178451178455,0.0,1571364.0,1571364.0
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet (June '24),claude-35-sonnet-june-24,anthropic,129.29925706490408,0.8956593342944295,5,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.18513636363636365,0.0,3740536.0,3740536.0
google/gemma-4-31b-it,gemma-4-31b-it,,,129.22413849034393,0.8919794489077433,1,SimpleQA Verified,0.09562563580874874,958916.0,79865.0,1038781.0
mistral/mistral-large-2407,Mistral Large 2 (Jul '24),mistral-large-2407,mistral,129.06618153274763,0.8842415025557557,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.28746843434343433,0.0,2128865.0,2128865.0
openai/gpt-4o-2024-08-06,GPT-4o (Aug '24),gpt-4o-2024-08-06,openai,128.70046791048244,0.8663260372774784,3,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025",0.18533249158249157,0.0,2466206.0,2466206.0
openai/gpt-4o-2024-05-13,GPT-4o (May '24),gpt-4o-2024-05-13,openai,128.61129241259542,0.8619575356991863,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.2757260101010101,0.0,2428224.0,2428224.0
google_vertex/publishers/meta/models/llama-3.1-405b-instruct-maas,llama-3.1-405b-instruct-maas,,,128.58169815060512,0.8605077811895252,1,OTIS Mock AIME 2024-2025,0.09722222222222222,0.0,1437847.0,1437847.0
mistral/mistral-small-2503,mistral-small-2503,,,128.07979585108788,0.8359207473120487,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.266540404040404,0.0,1152999.0,1152999.0
fireworks/accounts/fireworks/models/llama-v3p3-70b-instruct,Llama 3.3 Instruct 70B,llama-3-3-instruct-70b,meta,127.93803779337544,0.8289763476335988,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.2629103535353535,0.0,3366823.0,3366823.0
openai/gpt-4-turbo-2024-04-09,GPT-4 Turbo,gpt-4-turbo,openai,127.9372092591375,0.8289357596558261,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.2662878787878788,0.0,1171462.0,1171462.0
sagemaker/Qwen/Qwen2.5-32B-Instruct,Qwen2.5 Instruct 32B,qwen2.5-32b-instruct,alibaba,127.8944824920089,0.82684267406551,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.26723484848484846,0.0,2355986.0,2355986.0
anthropic/claude-3-opus-20240229,Claude 3 Opus,claude-3-opus,anthropic,127.76272692129383,0.8203882731117117,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.25940656565656567,0.0,1819090.0,1819090.0
google/gemini-1.5-pro-001,Gemini 1.5 Pro (May '24),gemini-1-5-pro-may-2024,google,127.70301813881568,0.8174632778307866,2,"GPQA diamond, OTIS Mock AIME 2024-2025",0.26335227272727274,0.0,1714201.0,1714201.0
sagemaker/Qwen/Qwen2.5-72B-Instruct,Qwen2.5 Instruct 72B,qwen2-5-72b-instruct,alibaba,127.63888819921799,0.8143217002788099,1,OTIS Mock AIME 2024-2025,0.08055555555555556,0.0,690057.0,690057.0
openai/gpt-4o-2024-11-20,GPT-4o (Nov '24),gpt-4o,openai,127.56849175469927,0.8108731411311425,4,"FrontierMath-2025-02-28-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified",0.21281709136822774,0.0,4375592.5,4375592.5
together/deepseek-ai/deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,deepseek-r1-distill-qwen-14b,deepseek,127.39740146464231,0.8024918231698899,1,GPQA diamond,0.44696969696969696,0.0,23789803.0,23789803.0
