benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
mmmu-pro,GPT-4o (Aug),gpt-4o-2024-08-06,1344280.6017570624,0.0,355719.39824293763,56.0,0.56,355719.39824293763
mmmu-pro,GPT-4o mini,gpt-4o-mini,326243.2158800002,0.0,383756.7841199998,42.0,0.42,383756.7841199998
mmmu-pro,GPT-5 (high),gpt-5,1166576.5394455912,5717872.30706265,115551.15349175905,74.0,0.74,5833423.460554409
mmmu-pro,GPT-5 (low),gpt-5-low,1181949.4823516435,1239678.8653853063,78371.65226304957,74.0,0.74,1318050.5176483558
mmmu-pro,GPT-5 (minimal),gpt-5-minimal,1115583.5497591808,0.0,184416.45024081945,62.0,0.62,184416.45024081945
mmmu-pro,GPT-5 Codex(high),gpt-5-codex,1231413.52087021,6650527.609159864,118058.86996992672,74.0,0.74,6768586.47912979
mmmu-pro,GPT-5 mini(high),gpt-5-mini,62350.67648502311,5786824.915766215,150824.40774876214,70.0,0.7,5937649.3235149775
mmmu-pro,GPT-5 mini(medium),gpt-5-mini-medium,1152373.1309353935,2107272.9788853056,140353.89017930062,69.0,0.69,2247626.8690646063
mmmu-pro,GPT-5 mini(minimal),gpt-5-mini-minimal,,,,58.0,0.58,
mmmu-pro,GPT-5 nano(high),gpt-5-nano,,,,61.0,0.61,
mmmu-pro,GPT-5 nano(medium),gpt-5-nano-medium,1151752.3168579135,4285497.461672735,62750.22146935148,58.0,0.58,4348247.683142087
mmmu-pro,GPT-5 nano(minimal),gpt-5-nano-minimal,,,,32.0,0.32,
mmmu-pro,GPT-5(medium),gpt-5-medium,1168170.273854127,3134605.394211592,97224.33193428144,74.0,0.74,3231829.726145874
mmmu-pro,GPT-5.1,gpt-5-1-non-reasoning,,,,62.0,0.62,
mmmu-pro,GPT-5.1(high),gpt-5-1,,,,75.0,0.75,
mmmu-pro,GPT-5.1Codex (high),gpt-5-1-codex,1539209.3327949452,5952382.208235415,108408.45896964052,72.0,0.72,6060790.667205055
mmmu-pro,GPT-5.1Codex mini(high),gpt-5-1-codex-mini,1520472.3327518932,7540096.882608209,139430.7846398985,69.0,0.69,7679527.6672481075
mmmu-pro,GPT-5.2,gpt-5-2-non-reasoning,858581.3031966797,0.0,241418.6968033203,66.0,0.66,241418.6968033203
mmmu-pro,GPT-5.2(medium),gpt-5-2-medium,1091496.9754808194,1423484.8515613547,185018.1729578261,75.0,0.75,1608503.0245191809
mmmu-pro,GPT-5.2Codex(xhigh),gpt-5-2-codex,2115481.8425674136,30723828.03666371,160690.120768878,76.0,0.76,30884518.15743259
mmmu-pro,GPT-5.3Codex(xhigh),gpt-5-3-codex,1191976.892987258,6920811.615010878,187211.49200186468,78.0,0.78,7108023.107012743
mmmu-pro,GPT-5.4 mini,gpt-5-4-mini-non-reasoning,1200736.8150547824,0.0,199263.1849452176,60.0,0.6,199263.1849452176
mmmu-pro,GPT-5.4 mini(medium),gpt-5-4-mini-medium,1223456.663291808,2148265.8048106846,128277.53189750727,71.0,0.71,2276543.336708192
mmmu-pro,GPT-5.4 mini(xhigh),gpt-5-4-mini,1457810.464986623,15425289.143820103,116900.39119327224,73.0,0.73,15542189.535013376
mmmu-pro,GPT-5.4 nano,gpt-5-4-nano-medium,1215605.876701265,2186609.4955286,197784.6277701349,60.0,0.6,2384394.123298735
mmmu-pro,GPT-5.4 nano(xhigh),gpt-5-4-nano,1247177.3312873698,16573593.402018731,179229.2666938977,65.0,0.65,16752822.668712627
mmmu-pro,GPT-5.4(Non-reasoning),gpt-5-4-non-reasoning,1179989.3233103503,0.0,320010.6766896493,71.0,0.71,320010.6766896493
mmmu-pro,GPT-5.4(xhigh),gpt-5-4,1513065.0951618822,6490305.028322418,196629.87651569943,78.0,0.78,6686934.904838118
mmmu-pro,Gemini 1.5 Flash(Sep),gemini-1-5-flash,871308.2920242134,0.0,328691.70797578664,48.0,0.48,328691.70797578664
mmmu-pro,Gemini 1.5 Pro(Sep),gemini-1-5-pro,878104.3202137621,0.0,321895.67978623795,55.0,0.55,321895.67978623795
mmmu-pro,Gemini 1.5Flash-8B,gemini-1-5-flash-8b,858855.1750107086,0.0,441144.82498929126,37.0,0.37,441144.82498929126
mmmu-pro,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,894302.7969920981,0.0,4805697.203007902,65.0,0.65,4805697.203007902
mmmu-pro,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,817495.5771264037,0.0,2782504.422873596,70.0,0.7,2782504.422873596
mmmu-pro,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,2691793.518217204,6102508.105241594,1205698.3765412022,69.0,0.69,7308206.481782796
mmmu-pro,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,811103.8470363669,4535374.956966704,853521.1959969293,73.0,0.73,5388896.152963633
mmmu-pro,Gemini 2.5Flash-Lite,gemini-2-5-flash-lite-reasoning,870702.4796684358,0.0,17129297.520331565,58.0,0.58,17129297.520331565
mmmu-pro,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,815005.5227456564,0.0,3884994.477254343,63.0,0.63,3884994.477254343
mmmu-pro,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,814457.0430080078,5409778.08671893,875764.8702730624,65.0,0.65,6285542.956991992
mmmu-pro,Gemini 2.5Pro,gemini-2-5-pro,895813.8524398527,6710096.377293007,1094089.77026714,75.0,0.75,7804186.147560148
mmmu-pro,Gemini 3 Flash,gemini-3-flash-reasoning,2572436.4669841463,0.0,627563.5330158535,79.0,0.79,627563.5330158535
mmmu-pro,Gemini 3 ProPreview(high),gemini-3-pro,2195974.3897160143,9832557.007817935,971468.6024660508,80.0,0.8,10804025.610283986
mmmu-pro,Gemini 3.1Flash-LitePreview,gemini-3-1-flash-lite-preview,2205594.4567173426,8221024.975483578,573380.5677990795,76.0,0.76,8794405.543282658
mmmu-pro,Gemini 3.1Pro Preview,gemini-3-1-pro-preview,2193853.042499129,10092502.508870674,713644.4486301962,82.0,0.82,10806146.957500871
mmmu-pro,Gemini 3Flash,gemini-3-flash-reasoning,2585214.2143494096,8757813.787127767,656971.9985228241,80.0,0.8,9414785.78565059
mmmu-pro,Gemma 3 12B,gemma-3-12b,325836.33572382247,0.0,634163.6642761776,38.0,0.38,634163.6642761776
mmmu-pro,Gemma 3 27B,gemma-3-27b,898871.282919935,0.0,801128.7170800649,48.0,0.48,801128.7170800649
mmmu-pro,Gemma 3 4B,gemma-3-4b,325650.84397832805,0.0,654349.156021672,30.0,0.3,654349.156021672
mmmu-pro,Gemma 3n E4B,gemma-3n-e4b,328571.8251525921,0.0,1371428.174847408,26.0,0.26,1371428.174847408
mmmu-pro,Gemma 4 26B A4B,gemma-4-26b-a4b,837701.4875586914,0.0,2162298.512441308,67.0,0.67,2162298.512441308
mmmu-pro,Gemma 4 26BA4B,gemma-4-26b-a4b,875023.3725668747,11344558.878371514,780417.7490616103,69.0,0.69,12124976.627433125
mmmu-pro,Gemma 4 31B,gemma-4-31b,844101.4210377333,4940562.164622666,715336.4143396001,73.0,0.73,5655898.578962266
mmmu-pro,Gemma 4 E2B,gemma-4-e2b,844392.6364615764,2473389.809807144,682217.55373128,45.0,0.45,3155607.363538424
mmmu-pro,Gemma 4 E4B,gemma-4-e4b,842978.6540813509,2514748.0140928305,742273.3318258182,51.0,0.51,3257021.345918649
mmmu-pro,Grok 4,grok-4,786370.8881082046,11208388.02615562,5241.085736175003,69.0,0.69,11213629.111891797
mmmu-pro,Grok 4 Fast,grok-4-fast-reasoning,1035579.9758689924,6580441.671032124,383978.3530988834,62.0,0.62,6964420.024131008
mmmu-pro,Grok 4.1 Fast,grok-4-1-fast,1040261.5885950624,0.0,759738.4114049375,48.0,0.48,759738.4114049375
mmmu-pro,Grok 4.1Fast,grok-4-1-fast,1034694.9102829992,8615999.934821488,249305.15489551265,63.0,0.63,8865305.089717
mmmu-pro,Grok 4.20 0309,grok-4-20-0309-non-reasoning,756868.9257801815,0.0,5043131.074219818,64.0,0.64,5043131.074219818
mmmu-pro,Grok 4.20 0309 v2,grok-4-20-non-reasoning,1328792.366100573,0.0,5871207.633899427,65.0,0.65,5871207.633899427
mmmu-pro,Grok 4.200309,grok-4-20-0309-non-reasoning,765924.3996053922,8182774.580437765,551301.0199568418,73.0,0.73,8734075.600394607
mmmu-pro,Grok 4.200309 v2,grok-4-20-non-reasoning,773948.6484822324,9553109.092797209,672942.258720559,75.0,0.75,10226051.351517769
mmmu-pro,Kimi K2.5,kimi-k2-5-non-reasoning,1313269.8043304775,11960532.76537832,726197.4302912012,75.0,0.75,12686730.195669524
mmmu-pro,LFM2.5-VL-1.6B,lfm2-5-vl-1-6b,1270480.6940858816,0.0,129519.30591411846,27.0,0.27,129519.30591411846
mmmu-pro,Llama 3.2 11B(Vision),llama-3-2-instruct-11b-vision,327572.4069046114,0.0,1472427.5930953887,29.0,0.29,1472427.5930953887
mmmu-pro,Llama 3.2 90B(Vision),llama-3-2-instruct-90b-vision,332617.44955947495,0.0,967382.5504405248,39.0,0.39,967382.5504405248
mmmu-pro,Llama 4 Maverick,llama-4-maverick,333160.02477452584,0.0,866839.9752254741,62.0,0.62,866839.9752254741
mmmu-pro,Llama 4 Scout,llama-4-scout,325332.48052175884,0.0,874667.5194782411,53.0,0.53,874667.5194782411
mmmu-pro,MagistralMedium 1.2,magistral-medium-2509,1250571.9241332544,5285773.552339007,563654.5235277386,60.0,0.6,5849428.075866746
mmmu-pro,MagistralSmall 1.2,magistral-small-2509,1251346.8044516973,2910601.5789441336,538051.616604169,55.0,0.55,3448653.1955483025
mmmu-pro,MiMo-V2-Omni,mimo-v2-omni,1219744.2017359969,10034213.868588315,746041.9296756879,70.0,0.7,10780255.798264002
mmmu-pro,MiMo-V2-Omni-0327,mimo-v2-omni-0327,1177301.2865229223,6687015.141606068,835683.571871009,74.0,0.74,7522698.713477077
mmmu-pro,Ministral 3 14B,ministral-3-14b,1246329.0734553167,0.0,853670.9265446834,50.0,0.5,853670.9265446834
mmmu-pro,Ministral 3 3B,ministral-3-3b,1269443.0729684967,0.0,830556.9270315033,38.0,0.38,830556.9270315033
mmmu-pro,Ministral 3 8B,ministral-3-8b,1263474.8931096748,0.0,1536525.1068903254,46.0,0.46,1536525.1068903254
mmmu-pro,Mistral Large 3,mistral-large-3,1285858.7744774497,0.0,514141.22552255046,56.0,0.56,514141.22552255046
mmmu-pro,Mistral Medium 3,mistral-medium-3,327316.82182552107,0.0,532683.1781744789,53.0,0.53,532683.1781744789
mmmu-pro,Mistral Medium3.1,mistral-medium-3-1,1222054.862940587,0.0,1077945.137059413,54.0,0.54,1077945.137059413
mmmu-pro,Mistral Small 3.2,mistral-small-3-2,1258413.7966479962,0.0,941586.2033520036,48.0,0.48,941586.2033520036
mmmu-pro,Mistral Small 4,mistral-small-4,1346495.0327852622,0.0,453504.96721473767,46.0,0.46,453504.96721473767
mmmu-pro,MistralSmall 4,mistral-small-4,1312407.235893007,6924244.373211756,463348.3908952372,57.0,0.57,7387592.764106994
mmmu-pro,Molmo 7B-D,molmo-7b-d,1527578.7622542048,0.0,172421.23774579514,25.0,0.25,172421.23774579514
mmmu-pro,Molmo2-8B,molmo2-8b,1630350.2604885043,0.0,669649.7395114955,37.0,0.37,669649.7395114955
mmmu-pro,Muse Spark,muse-spark,1495615.923678066,4631853.45082879,272530.6254931442,81.0,0.81,4904384.076321934
mmmu-pro,NVIDIA NemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,3713242.4839296136,0.0,786757.5160703864,45.0,0.45,786757.5160703864
mmmu-pro,NVIDIANemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,3702966.937366936,5116768.855821649,180264.20681141684,53.0,0.53,5297033.0626330655
mmmu-pro,Nova 2.0 Lite,nova-2-0-lite,1284677.531843857,0.0,2315322.468156144,49.0,0.49,2315322.468156144
mmmu-pro,Nova 2.0 Omni,nova-2-0-omni,1273232.164097041,0.0,926767.8359029592,50.0,0.5,926767.8359029592
mmmu-pro,Nova 2.0 ProPreview(low),nova-2-0-pro-reasoning-low,1385106.3654542211,1584916.2849651503,329977.349580628,63.0,0.63,1914893.6345457784
mmmu-pro,Nova 2.0 ProPreview(medium),nova-2-0-pro-reasoning-medium,1353488.8927329553,5834777.383175929,711733.7240911154,65.0,0.65,6546511.1072670445
mmmu-pro,Nova 2.0Lite (high),nova-2-0-lite-reasoning,1352189.5369522988,48639038.6731169,1008771.789930803,64.0,0.64,49647810.463047706
mmmu-pro,Nova 2.0Lite (low),nova-2-0-lite-reasoning-low,1387459.7315932016,2212760.028319505,699780.2400872932,58.0,0.58,2912540.268406798
mmmu-pro,Nova 2.0Lite(medium),nova-2-0-lite-reasoning-medium,1342303.514210218,9697082.387684228,960614.0981055542,63.0,0.63,10657696.48578978
mmmu-pro,Nova 2.0Omni (low),nova-2-0-omni-reasoning-low,1379262.248404095,2772965.616381963,547772.1352139422,60.0,0.6,3320737.751595905
mmmu-pro,Nova 2.0Omni(medium),nova-2-0-omni-reasoning-medium,1355064.8813020857,6519702.033364353,825233.0853335612,62.0,0.62,7344935.118697914
mmmu-pro,Nova Lite,nova-lite,329591.2019651391,0.0,340408.7980348609,38.0,0.38,340408.7980348609
mmmu-pro,Nova Pro,nova-pro,326927.6568641851,0.0,313072.34313581494,44.0,0.44,313072.34313581494
mmmu-pro,Phi-4 Multimodal,phi-4-multimodal,330063.8375609009,0.0,2369936.162439099,15.0,0.15,2369936.162439099
mmmu-pro,Pixtral Large,pixtral-large-2411,326506.2970759628,0.0,493493.7029240372,51.0,0.51,493493.7029240372
mmmu-pro,Qwen3 Omni 30BA3B,qwen3-omni-30b-a3b-reasoning,1113951.906861092,0.0,2586048.0931389085,55.0,0.55,2586048.0931389085
mmmu-pro,Qwen3 Omni30B A3B,qwen3-omni-30b-a3b-reasoning,1107405.0782566725,4601326.162530367,691268.7592129606,60.0,0.6,5292594.921743328
mmmu-pro,Qwen3 VL 235BA22B,qwen3-vl-235b-a22b-reasoning,1121711.0672375949,0.0,1778288.9327624054,68.0,0.68,1778288.9327624054
mmmu-pro,Qwen3 VL 30B A3B,qwen3-vl-30b-a3b-reasoning,1032281.0358761696,0.0,3267718.96412383,62.0,0.62,3267718.96412383
mmmu-pro,Qwen3 VL 30BA3B,qwen3-vl-30b-a3b-reasoning,1027658.596283815,5131678.626982838,740662.7767333466,62.0,0.62,5872341.403716184
mmmu-pro,Qwen3 VL 32B,qwen3-vl-32b-instruct,1018085.718753799,5102074.310538791,479839.9707074097,64.0,0.64,5581914.281246201
mmmu-pro,Qwen3 VL 4B,qwen3-vl-4b-reasoning,1161124.4256647662,9358565.821042355,480309.7532928756,52.0,0.52,9838875.57433523
mmmu-pro,Qwen3 VL 8B,qwen3-vl-8b-instruct,1134911.0092230637,6771904.954305502,493184.0364714352,57.0,0.57,7265088.990776936
mmmu-pro,Qwen3 VL235B A22B,qwen3-vl-235b-a22b-reasoning,1132274.8896477213,4535457.273130486,632267.8372217928,69.0,0.69,5167725.110352279
mmmu-pro,Qwen3.5 0.8B,qwen3-5-0-8b,1138423.876416376,0.0,38861576.12358362,26.0,0.26,38861576.12358362
mmmu-pro,Qwen3.5 122B A10B,qwen3-5-122b-a10b,894280.2364281453,0.0,3205719.763571854,70.0,0.7,3205719.763571854
mmmu-pro,Qwen3.5 122BA10B,qwen3-5-122b-a10b,920685.1183755964,10270485.782476228,808829.0991481759,75.0,0.75,11079314.881624404
mmmu-pro,Qwen3.5 27B,qwen3-5-27b,872709.2186232272,9366879.00188654,760411.7794902325,75.0,0.75,10127290.781376772
mmmu-pro,Qwen3.5 2B,qwen3-5-2b-non-reasoning,1146850.0921634985,43828898.099600144,1024251.8082363596,43.0,0.43,44853149.9078365
mmmu-pro,Qwen3.5 35B A3B,qwen3-5-35b-a3b-non-reasoning,897636.625942878,0.0,3202363.374057121,69.0,0.69,3202363.374057121
mmmu-pro,Qwen3.5 35BA3B,qwen3-5-35b-a3b-non-reasoning,866809.2340822043,10339796.003496584,793394.7624212119,73.0,0.73,11133190.765917797
mmmu-pro,Qwen3.5 397B A17B,qwen3-5-397b-a17b-non-reasoning,1105538.601433291,0.0,3194461.398566709,53.0,0.53,3194461.398566709
mmmu-pro,Qwen3.5 397BA17B,qwen3-5-397b-a17b-non-reasoning,922243.5793249224,10271731.674595805,806024.7460792724,77.0,0.77,11077756.420675077
mmmu-pro,Qwen3.5 4B,qwen3-5-4b-non-reasoning,1099999.6990912647,10172164.852119217,727835.4487895183,65.0,0.65,10900000.300908737
mmmu-pro,Qwen3.5 9B,qwen3-5-9b,1136728.691367201,14976599.143204324,886672.1654284749,69.0,0.69,15863271.308632798
mmmu-pro,Qwen3.5 Omni Plus,qwen3-5-omni-plus,883264.6266216122,0.0,2516735.373378388,71.0,0.71,2516735.373378388
mmmu-pro,Qwen3.5 OmniFlash,qwen3-5-omni-flash,878621.3771144059,0.0,3221378.6228855937,65.0,0.65,3221378.6228855937
mmmu-pro,Qwen3.6 Plus,qwen3-6-plus,914843.6121982874,10266103.751849849,819052.6359518643,78.0,0.78,11085156.387801712
mmmu-pro,Step3 VL 10B,step-3-vl-10b,1090101.5465771914,6382338.467157772,727559.9862650357,64.0,0.64,7109898.453422807
mmmu-pro,o3,o3,1169126.5886542017,4036716.143438854,94157.26790694476,70.0,0.7,4130873.411345799
mmmu-pro,o4-mini(high),o4-mini,321933.3824716743,8243788.358991416,234278.25853690933,69.0,0.69,8478066.617528325
