benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
mmmu-pro,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,894302.7969920981,0.0,4805697.203007902,65.0,0.65,4805697.203007902
mmmu-pro,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,2691793.518217204,6102508.105241594,1205698.3765412022,69.0,0.69,7308206.481782796
mmmu-pro,gemini-3-flash,2,Gemini 3 Flash,gemini-3-flash-reasoning,2572436.4669841463,0.0,627563.5330158535,79.0,0.79,627563.5330158535
mmmu-pro,gemini-3-flash,2,Gemini 3Flash,gemini-3-flash-reasoning,2585214.2143494096,8757813.787127767,656971.9985228241,80.0,0.8,9414785.78565059
mmmu-pro,gemma-4-26b-a4b,2,Gemma 4 26B A4B,gemma-4-26b-a4b,837701.4875586914,0.0,2162298.512441308,67.0,0.67,2162298.512441308
mmmu-pro,gemma-4-26b-a4b,2,Gemma 4 26BA4B,gemma-4-26b-a4b,875023.3725668747,11344558.878371514,780417.7490616103,69.0,0.69,12124976.627433125
mmmu-pro,gpt-5,4,GPT-5 (minimal),gpt-5-minimal,1115583.5497591808,0.0,184416.45024081945,62.0,0.62,184416.45024081945
mmmu-pro,gpt-5,4,GPT-5 (low),gpt-5-low,1181949.4823516435,1239678.8653853063,78371.65226304957,74.0,0.74,1318050.5176483558
mmmu-pro,gpt-5,4,GPT-5(medium),gpt-5-medium,1168170.273854127,3134605.394211592,97224.33193428144,74.0,0.74,3231829.726145874
mmmu-pro,gpt-5,4,GPT-5 (high),gpt-5,1166576.5394455912,5717872.30706265,115551.15349175905,74.0,0.74,5833423.460554409
mmmu-pro,gpt-5-1,2,GPT-5.1,gpt-5-1-non-reasoning,,,,62.0,0.62,
mmmu-pro,gpt-5-1,2,GPT-5.1(high),gpt-5-1,,,,75.0,0.75,
mmmu-pro,gpt-5-2,2,GPT-5.2,gpt-5-2-non-reasoning,858581.3031966797,0.0,241418.6968033203,66.0,0.66,241418.6968033203
mmmu-pro,gpt-5-2,2,GPT-5.2(medium),gpt-5-2-medium,1091496.9754808194,1423484.8515613547,185018.1729578261,75.0,0.75,1608503.0245191809
mmmu-pro,gpt-5-4,2,GPT-5.4(Non-reasoning),gpt-5-4-non-reasoning,1179989.3233103503,0.0,320010.6766896493,71.0,0.71,320010.6766896493
mmmu-pro,gpt-5-4,2,GPT-5.4(xhigh),gpt-5-4,1513065.0951618822,6490305.028322418,196629.87651569943,78.0,0.78,6686934.904838118
mmmu-pro,gpt-5-4-mini,3,GPT-5.4 mini,gpt-5-4-mini-non-reasoning,1200736.8150547824,0.0,199263.1849452176,60.0,0.6,199263.1849452176
mmmu-pro,gpt-5-4-mini,3,GPT-5.4 mini(medium),gpt-5-4-mini-medium,1223456.663291808,2148265.8048106846,128277.53189750727,71.0,0.71,2276543.336708192
mmmu-pro,gpt-5-4-mini,3,GPT-5.4 mini(xhigh),gpt-5-4-mini,1457810.464986623,15425289.143820103,116900.39119327224,73.0,0.73,15542189.535013376
mmmu-pro,gpt-5-4-nano,2,GPT-5.4 nano,gpt-5-4-nano-medium,1215605.876701265,2186609.4955286,197784.6277701349,60.0,0.6,2384394.123298735
mmmu-pro,gpt-5-4-nano,2,GPT-5.4 nano(xhigh),gpt-5-4-nano,1247177.3312873698,16573593.402018731,179229.2666938977,65.0,0.65,16752822.668712627
mmmu-pro,gpt-5-mini,3,GPT-5 mini(medium),gpt-5-mini-medium,1152373.1309353935,2107272.9788853056,140353.89017930062,69.0,0.69,2247626.8690646063
mmmu-pro,gpt-5-mini,3,GPT-5 mini(high),gpt-5-mini,62350.67648502311,5786824.915766215,150824.40774876214,70.0,0.7,5937649.3235149775
mmmu-pro,gpt-5-mini,3,GPT-5 mini(minimal),gpt-5-mini-minimal,,,,58.0,0.58,
mmmu-pro,gpt-5-nano,3,GPT-5 nano(medium),gpt-5-nano-medium,1151752.3168579135,4285497.461672735,62750.22146935148,58.0,0.58,4348247.683142087
mmmu-pro,gpt-5-nano,3,GPT-5 nano(high),gpt-5-nano,,,,61.0,0.61,
mmmu-pro,gpt-5-nano,3,GPT-5 nano(minimal),gpt-5-nano-minimal,,,,32.0,0.32,
mmmu-pro,grok-4-1-fast,2,Grok 4.1 Fast,grok-4-1-fast,1040261.5885950624,0.0,759738.4114049375,48.0,0.48,759738.4114049375
mmmu-pro,grok-4-1-fast,2,Grok 4.1Fast,grok-4-1-fast,1034694.9102829992,8615999.934821488,249305.15489551265,63.0,0.63,8865305.089717
mmmu-pro,grok-4-20,2,Grok 4.20 0309 v2,grok-4-20-non-reasoning,1328792.366100573,0.0,5871207.633899427,65.0,0.65,5871207.633899427
mmmu-pro,grok-4-20,2,Grok 4.200309 v2,grok-4-20-non-reasoning,773948.6484822324,9553109.092797209,672942.258720559,75.0,0.75,10226051.351517769
mmmu-pro,grok-4-20-0309,2,Grok 4.20 0309,grok-4-20-0309-non-reasoning,756868.9257801815,0.0,5043131.074219818,64.0,0.64,5043131.074219818
mmmu-pro,grok-4-20-0309,2,Grok 4.200309,grok-4-20-0309-non-reasoning,765924.3996053922,8182774.580437765,551301.0199568418,73.0,0.73,8734075.600394607
mmmu-pro,mistral-small-4,2,Mistral Small 4,mistral-small-4,1346495.0327852622,0.0,453504.96721473767,46.0,0.46,453504.96721473767
mmmu-pro,mistral-small-4,2,MistralSmall 4,mistral-small-4,1312407.235893007,6924244.373211756,463348.3908952372,57.0,0.57,7387592.764106994
mmmu-pro,nova-2-0-lite,2,Nova 2.0 Lite,nova-2-0-lite,1284677.531843857,0.0,2315322.468156144,49.0,0.49,2315322.468156144
mmmu-pro,nova-2-0-lite,2,Nova 2.0Lite (high),nova-2-0-lite-reasoning,1352189.5369522988,48639038.6731169,1008771.789930803,64.0,0.64,49647810.463047706
mmmu-pro,nova-2-0-lite-reasoning,2,Nova 2.0Lite (low),nova-2-0-lite-reasoning-low,1387459.7315932016,2212760.028319505,699780.2400872932,58.0,0.58,2912540.268406798
mmmu-pro,nova-2-0-lite-reasoning,2,Nova 2.0Lite(medium),nova-2-0-lite-reasoning-medium,1342303.514210218,9697082.387684228,960614.0981055542,63.0,0.63,10657696.48578978
mmmu-pro,nova-2-0-omni-reasoning,2,Nova 2.0Omni (low),nova-2-0-omni-reasoning-low,1379262.248404095,2772965.616381963,547772.1352139422,60.0,0.6,3320737.751595905
mmmu-pro,nova-2-0-omni-reasoning,2,Nova 2.0Omni(medium),nova-2-0-omni-reasoning-medium,1355064.8813020857,6519702.033364353,825233.0853335612,62.0,0.62,7344935.118697914
mmmu-pro,nova-2-0-pro-reasoning,2,Nova 2.0 ProPreview(low),nova-2-0-pro-reasoning-low,1385106.3654542211,1584916.2849651503,329977.349580628,63.0,0.63,1914893.6345457784
mmmu-pro,nova-2-0-pro-reasoning,2,Nova 2.0 ProPreview(medium),nova-2-0-pro-reasoning-medium,1353488.8927329553,5834777.383175929,711733.7240911154,65.0,0.65,6546511.1072670445
mmmu-pro,nvidia-nemotron-nano-12b-v2-vl,2,NVIDIA NemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,3713242.4839296136,0.0,786757.5160703864,45.0,0.45,786757.5160703864
mmmu-pro,nvidia-nemotron-nano-12b-v2-vl,2,NVIDIANemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,3702966.937366936,5116768.855821649,180264.20681141684,53.0,0.53,5297033.0626330655
mmmu-pro,qwen3-5-122b-a10b,2,Qwen3.5 122B A10B,qwen3-5-122b-a10b,894280.2364281453,0.0,3205719.763571854,70.0,0.7,3205719.763571854
mmmu-pro,qwen3-5-122b-a10b,2,Qwen3.5 122BA10B,qwen3-5-122b-a10b,920685.1183755964,10270485.782476228,808829.0991481759,75.0,0.75,11079314.881624404
mmmu-pro,qwen3-5-35b-a3b,2,Qwen3.5 35B A3B,qwen3-5-35b-a3b-non-reasoning,897636.625942878,0.0,3202363.374057121,69.0,0.69,3202363.374057121
mmmu-pro,qwen3-5-35b-a3b,2,Qwen3.5 35BA3B,qwen3-5-35b-a3b-non-reasoning,866809.2340822043,10339796.003496584,793394.7624212119,73.0,0.73,11133190.765917797
mmmu-pro,qwen3-5-397b-a17b,2,Qwen3.5 397B A17B,qwen3-5-397b-a17b-non-reasoning,1105538.601433291,0.0,3194461.398566709,53.0,0.53,3194461.398566709
mmmu-pro,qwen3-5-397b-a17b,2,Qwen3.5 397BA17B,qwen3-5-397b-a17b-non-reasoning,922243.5793249224,10271731.674595805,806024.7460792724,77.0,0.77,11077756.420675077
mmmu-pro,qwen3-omni-30b-a3b,2,Qwen3 Omni 30BA3B,qwen3-omni-30b-a3b-reasoning,1113951.906861092,0.0,2586048.0931389085,55.0,0.55,2586048.0931389085
mmmu-pro,qwen3-omni-30b-a3b,2,Qwen3 Omni30B A3B,qwen3-omni-30b-a3b-reasoning,1107405.0782566725,4601326.162530367,691268.7592129606,60.0,0.6,5292594.921743328
mmmu-pro,qwen3-vl-235b-a22b,2,Qwen3 VL 235BA22B,qwen3-vl-235b-a22b-reasoning,1121711.0672375949,0.0,1778288.9327624054,68.0,0.68,1778288.9327624054
mmmu-pro,qwen3-vl-235b-a22b,2,Qwen3 VL235B A22B,qwen3-vl-235b-a22b-reasoning,1132274.8896477213,4535457.273130486,632267.8372217928,69.0,0.69,5167725.110352279
mmmu-pro,qwen3-vl-30b-a3b,2,Qwen3 VL 30B A3B,qwen3-vl-30b-a3b-reasoning,1032281.0358761696,0.0,3267718.96412383,62.0,0.62,3267718.96412383
mmmu-pro,qwen3-vl-30b-a3b,2,Qwen3 VL 30BA3B,qwen3-vl-30b-a3b-reasoning,1027658.596283815,5131678.626982838,740662.7767333466,62.0,0.62,5872341.403716184
