model_id,model,benchmark_id,benchmark,x_value,x_unit,performance,score_unit,data_quality,source_detail,source_url,human_verified
m85,Gemini 2.5 Flash,b11,GPQA Diamond,2048,thinking_tokens,0.803,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b11,GPQA Diamond,4096,thinking_tokens,0.822,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b11,GPQA Diamond,8192,thinking_tokens,0.849,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b11,GPQA Diamond,16384,thinking_tokens,0.848,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b11,GPQA Diamond,32768,thinking_tokens,0.862,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,512,thinking_tokens,0.2,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,1024,thinking_tokens,0.25,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,2048,thinking_tokens,0.36,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,4096,thinking_tokens,0.47,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,8192,thinking_tokens,0.59,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,16384,thinking_tokens,0.71,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m168,o1,b13,OTIS Mock AIME 2024-2025,32768,thinking_tokens,0.75,accuracy,figure_estimate,OpenAI Learning to Reason Sept 2024,https://openai.com/index/learning-to-reason-with-llms/,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,2183,thinking_tokens,0.31,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,5417,thinking_tokens,0.405,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,8075,thinking_tokens,0.44,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,13792,thinking_tokens,0.51,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,19566,thinking_tokens,0.56,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,22490,thinking_tokens,0.57,accuracy,exact_text,Anthropic Extended Thinking blog Feb 2025,https://www.anthropic.com/news/visible-extended-thinking,yes
m14,Claude 3.7 Sonnet (extended thinking),b11,GPQA Diamond,64000,thinking_tokens,0.848,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m14,Claude 3.7 Sonnet (extended thinking),b6,MMLU,64000,thinking_tokens,0.861,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m14,Claude 3.7 Sonnet (extended thinking),b48_unknown,MMMU,64000,thinking_tokens,0.75,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m14,Claude 3.7 Sonnet (extended thinking),b49_unknown,IFEval,64000,thinking_tokens,0.932,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m14,Claude 3.7 Sonnet (extended thinking),b45_unknown,MATH 500,64000,thinking_tokens,0.962,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m14,Claude 3.7 Sonnet (extended thinking),b13,OTIS Mock AIME 2024-2025,64000,thinking_tokens,0.8,accuracy,exact_text,Claude 3.7 Sonnet and Claude Code Announcement,https://www.anthropic.com/news/claude-3-7-sonnet,yes
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,1200,mean_response_tokens,,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,1800,mean_response_tokens,0.625,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,2300,mean_response_tokens,0.645,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,2800,mean_response_tokens,0.66,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,3300,mean_response_tokens,0.675,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,3800,mean_response_tokens,0.69,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,4300,mean_response_tokens,0.7,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,4800,mean_response_tokens,0.71,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,5500,mean_response_tokens,0.72,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,6200,mean_response_tokens,0.73,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,7000,mean_response_tokens,0.74,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,7800,mean_response_tokens,0.75,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,8500,mean_response_tokens,0.76,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,9500,mean_response_tokens,0.77,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,10500,mean_response_tokens,0.78,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b43_unknown,total@temp_1.0,12000,mean_response_tokens,0.79,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,2200,mean_response_tokens,0.385,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,2800,mean_response_tokens,0.405,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,3500,mean_response_tokens,0.425,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,4200,mean_response_tokens,0.44,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,4800,mean_response_tokens,0.455,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,5500,mean_response_tokens,0.47,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,6200,mean_response_tokens,0.485,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,7000,mean_response_tokens,0.5,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,7800,mean_response_tokens,0.51,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,8800,mean_response_tokens,0.525,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,9500,mean_response_tokens,0.535,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,10500,mean_response_tokens,0.545,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,11500,mean_response_tokens,0.555,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,13000,mean_response_tokens,0.57,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b44_unknown,OMNI-MATH500,14500,mean_response_tokens,0.59,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,1000,mean_response_tokens,0.855,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,1500,mean_response_tokens,0.88,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,2000,mean_response_tokens,0.89,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,2500,mean_response_tokens,0.895,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,3000,mean_response_tokens,0.9,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,3500,mean_response_tokens,0.905,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,4000,mean_response_tokens,0.91,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,4500,mean_response_tokens,0.912,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,5000,mean_response_tokens,0.915,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,5500,mean_response_tokens,0.92,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,6000,mean_response_tokens,0.922,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,6500,mean_response_tokens,0.925,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,7500,mean_response_tokens,0.928,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,8500,mean_response_tokens,0.93,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,9500,mean_response_tokens,0.935,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b45_unknown,MATH500,11000,mean_response_tokens,0.94,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,2500,mean_response_tokens,0.1,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,3500,mean_response_tokens,0.15,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,4500,mean_response_tokens,0.2,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,5500,mean_response_tokens,0.25,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,6500,mean_response_tokens,0.3,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,7000,mean_response_tokens,0.3,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,7500,mean_response_tokens,0.33,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,8000,mean_response_tokens,0.35,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,8500,mean_response_tokens,0.37,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,9000,mean_response_tokens,0.38,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,9500,mean_response_tokens,0.4,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,10500,mean_response_tokens,0.42,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b46_unknown,AIMO2024,11500,mean_response_tokens,0.45,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,1250,mean_response_tokens,0.133,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,1750,mean_response_tokens,0.167,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,4500,mean_response_tokens,0.233,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,4333.333333,mean_response_tokens,0.267,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,2750,mean_response_tokens,0.3,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,5625,mean_response_tokens,0.333,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,6166.666667,mean_response_tokens,0.367,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,5875,mean_response_tokens,0.4,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,7916.666667,mean_response_tokens,0.433,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,7312.5,mean_response_tokens,0.467,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,7000,mean_response_tokens,0.5,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b13,OTIS Mock AIME 2024-2025,8750,mean_response_tokens,0.533,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,yes
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,2000,mean_response_tokens,0.82,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,3500,mean_response_tokens,0.825,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,2500,mean_response_tokens,0.83,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,2800,mean_response_tokens,0.835,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,3800,mean_response_tokens,0.84,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,4200,mean_response_tokens,0.845,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,3500,mean_response_tokens,0.85,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5000,mean_response_tokens,0.85,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,4500,mean_response_tokens,0.855,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5200,mean_response_tokens,0.855,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,4800,mean_response_tokens,0.86,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5500,mean_response_tokens,0.86,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5200,mean_response_tokens,0.865,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5500,mean_response_tokens,0.87,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5800,mean_response_tokens,0.875,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5000,mean_response_tokens,0.88,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,5500,mean_response_tokens,0.88,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,6200,mean_response_tokens,0.88,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7000,mean_response_tokens,0.88,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,6200,mean_response_tokens,0.885,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,6000,mean_response_tokens,0.89,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,6800,mean_response_tokens,0.89,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7200,mean_response_tokens,0.89,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7800,mean_response_tokens,0.89,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7000,mean_response_tokens,0.895,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7500,mean_response_tokens,0.895,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7000,mean_response_tokens,0.9,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
m178_unknown,Kimi k1.5,b47_unknown,GAOKAO,7800,mean_response_tokens,0.9,accuracy,figure_estimate,Kimi k1.5 paper Fig 6,https://arxiv.org/pdf/2501.12599,
